%Nr	t_max	flow_H2	flw_WF6	p_bfr	p_bhd	U_WF6	htStart	htDist.	Tmax[K]
1084.00	60.00	406.92	100.40	53.00	50.00	0.14	76.25	20.25	873.15
1085.00	45.00	406.92	50.50	100.20	100.00	0.43	81.25	25.25	873.15
1086.00	45.00	207.60	25.50	101.20	101.00	0.90	79.50	13.50	873.15
1087.00	30.00	207.60	25.50	99.70	99.50	1.04	80.25	14.25	913.15
1088.00	90.00	207.59	25.40	26.40	25.00	0.50	80.50	14.75	873.15
1089.00	180.00	207.74	25.84	11.00	6.03	0.24	79.25	14.25	873.15
1090.00	45.00	808.15	50.27	99.52	99.32	0.57	80.50	14.50	873.15
1091.00	45.00	406.99	50.65	100.20	100.09	0.54	78.25	14.00	873.15
1092.00	45.00	207.72	50.52	100.31	100.11	0.46	78.00	11.50	873.15
1093.00	45.00	406.86	100.23	100.16	99.96	0.24	77.50	15.75	873.15
1094.00	30.00	808.11	101.29	99.77	99.57	0.36	78.25	12.50	913.15
1095.00	180.00	888.77	110.77	58.90	56.07	0.05	78.50	12.25	773.15
1096.00	255.00	800.21	200.03	38.50	31.17	0.02	77.75	12.50	773.15
1097.00	120.00	941.30	58.93	106.50	106.20	0.12	80.00	13.50	773.15
1098.00	120.00	979.56	20.55	102.20	101.98	0.34	77.75	11.50	773.15
1099.00	120.00	800.00	200.03	126.86	124.93	0.04	77.75	11.50	773.15
1100.00	120.00	207.63	25.40	100.10	100.01	0.27	77.75	11.75	773.15
1101.00	26.00	207.62	26.10	100.20	100.00	1.00	77.50	11.25	913.15
1102.00	10.00	0.00	0.00	99.06	100.08	nan	75.50	8.75	773.15
1103.00	10.00	998.13	0.00	99.44	99.17	nan	75.50	8.75	773.15
1104.00	10.00	798.18	200.00	41.00	31.96	nan	75.50	8.75	773.15
1105.00	8.00	0.00	0.00	102.00	100.00	nan	75.50	8.75	773.15
1106.00	9.00	998.74	0.00	16.00	10.00	nan	75.50	8.75	773.15
1107.00	3.00	207.42	25.68	98.21	98.00	nan	75.50	8.75	773.15
1108.00	11.00	2010.50	0.00	20.00	8.63	nan	75.50	8.75	873.15
1109.00	12.00	2009.79	0.00	20.00	8.00	nan	75.50	8.75	913.15
1110.00	16.00	0.00	0.00	9.00	9.00	nan	75.50	8.75	913.15
1111.00	13.00	0.00	0.00	9.00	8.00	nan	75.50	8.75	873.15
1112.00	10.00	0.00	0.00	9.00	8.96	nan	77.75	11.00	773.15
1113.00	10.00	0.00	0.00	699.53	705.29	nan	77.75	11.00	773.15
