fullPore#	x2	x3	y1	y2	y3
0	228.9	429.0	118.2	232.4	114.2
1	230.4	461.8	114.2	214.8	127.8
2	213.2	412.8	127.8	246.1	129.9
3	227.9	449.7	129.9	225.9	124.8
4	237.0	438.1	124.8	231.9	125.8
5	244.1	441.6	125.8	211.7	115.2
6	235.0	451.2	115.2	207.7	125.3
7	228.9	451.2	125.3	208.2	133.9
8	212.2	391.1	133.9	228.4	148.6
9	264.3	465.4	148.6	224.9	137.4
10	250.1	459.8	137.4	212.2	135.9
11	249.1	454.8	135.9	240.5	160.7
12	236.0	434.0	160.7	266.3	188.5
13	244.1	451.2	188.5	277.9	170.8
14	228.9	438.1	170.8	261.2	162.7
15	248.1	467.4	162.7	251.1	162.2
16	238.5	441.1	162.2	260.7	163.7
17	214.2	429.0	163.7	266.8	151.1
18	254.7	469.9	151.1	243.6	130.4
19	242.5	424.4	130.4	237.0	111.2
20	227.9	421.9	111.2	224.9	135.9
21	275.9	509.8	135.9	235.5	140.5
22	203.1	404.2	140.5	264.3	119.2
23	226.4	442.6	119.2	231.9	118.2
24	246.6	435.6	118.2	220.3	115.7
25	208.7	209.2	115.7	115.2	209.2
26	241.0	422.9	209.2	120.8	234.0
27	262.2	488.6	234.0	175.3	211.7
28	192.5	376.4	211.7	119.2	192.0
29	240.5	471.4	192.0	114.7	187.5
30	230.9	452.7	187.5	120.3	191.5
31	224.4	419.9	191.5	128.9	199.1
32	235.5	455.3	199.1	132.9	187.5
33	254.2	463.9	187.5	144.0	192.5
34	217.3	418.9	192.5	139.0	202.6
35	232.9	452.2	202.6	166.2	216.8
36	230.4	436.6	216.8	187.5	240.0
37	213.2	213.7	240.0	240.5	220.3
38	251.1	469.4	220.3	210.7	140.0
39	243.6	419.4	140.0	206.7	139.5
40	231.9	430.0	139.5	203.6	139.0
41	218.8	437.1	139.0	198.1	137.9
42	217.3	426.0	137.9	200.1	156.6
43	240.5	455.8	156.6	250.6	204.6
44	225.9	421.4	204.6	252.1	166.7
45	234.0	429.0	166.7	250.6	151.1
