fullPore#	x2	x3	y1	y2	y3
0	228.9	429.0	118.2	232.4	114.2
1	230.4	461.8	114.2	214.8	127.8
2	213.2	412.8	127.8	246.1	129.9
3	227.9	449.7	129.9	225.9	124.8
4	201.1	438.1	124.8	231.9	125.8
5	244.1	441.6	125.8	211.7	115.2
6	216.3	451.2	115.2	207.7	125.3
7	222.3	451.2	125.3	208.2	133.9
8	178.9	391.1	133.9	228.4	148.6
9	264.3	465.4	148.6	224.9	137.4
10	209.7	459.8	137.4	212.2	135.9
11	249.1	454.8	135.9	240.5	160.7
12	198.1	434.0	160.7	266.3	188.5
13	244.1	451.2	188.5	277.9	170.8
14	228.9	438.1	170.8	261.2	162.7
15	219.3	467.4	162.7	251.1	162.2
16	238.5	441.1	162.2	260.7	163.7
17	214.8	429.0	163.7	266.8	151.1
18	215.3	469.9	151.1	243.6	130.4
19	242.5	424.4	130.4	237.0	111.2
20	194.0	421.9	111.2	224.9	135.9
21	275.9	509.8	135.9	235.5	140.5
22	201.1	404.2	140.5	264.3	119.2
23	216.3	442.6	119.2	231.9	118.2
24	246.6	436.1	118.2	220.3	115.2
25	208.7	449.7	115.2	209.2	120.8
26	181.9	408.3	120.8	234.0	175.3
27	262.2	454.8	175.3	211.7	119.2
28	183.9	424.4	119.2	192.0	114.7
29	230.9	452.7	114.7	187.5	120.3
30	230.9	426.5	120.3	191.5	128.9
31	224.4	444.2	128.9	199.1	132.9
32	235.5	489.6	132.9	187.5	144.0
33	209.7	427.0	144.0	192.5	139.0
34	201.6	434.6	139.0	202.6	166.2
35	219.3	449.7	166.2	216.8	187.5
36	206.2	419.9	187.5	240.0	220.3
37	251.1	469.4	220.3	210.7	140.0
38	243.6	419.4	140.0	206.7	139.5
39	198.1	430.0	139.5	203.6	139.0
40	218.3	437.1	139.0	198.1	137.9
41	217.3	426.0	137.9	200.1	156.6
42	215.3	455.8	156.6	250.6	204.6
43	225.9	421.4	204.6	252.1	166.7
44	234.0	429.0	166.7	250.6	151.1
