fullPore#	x1	x2	y1	y2
1	-429.0	-200.1	118.2	232.4
2	-461.8	-231.4	114.2	214.8
3	650.8	887.8	231.9	125.8
4	201.1	438.1	231.9	125.8
5	-237.0	0.0	231.9	125.8
6	-441.6	-197.6	125.8	211.7
7	-235.0	0.0	207.7	125.3
8	391.1	655.4	148.6	224.9
9	0.0	264.3	148.6	224.9
10	-465.4	-201.1	148.6	224.9
11	0.0	249.1	135.9	240.5
12	-454.8	-205.7	135.9	240.5
13	0.0	244.1	188.5	277.9
14	657.4	905.5	251.1	162.2
15	219.3	467.4	251.1	162.2
16	-248.1	0.0	251.1	162.2
17	644.3	898.9	243.6	130.4
18	215.3	469.9	243.6	130.4
19	-254.7	0.0	243.6	130.4
20	421.9	697.8	135.9	235.5
21	0.0	275.9	135.9	235.5
22	-509.8	-234.0	135.9	235.5
23	442.6	689.2	118.2	220.3
24	0.0	246.6	118.2	220.3
25	-436.1	-189.5	118.2	220.3
26	408.3	670.5	175.3	211.7
27	0.0	262.2	175.3	211.7
28	-454.8	-192.5	175.3	211.7
29	-240.5	0.0	192.0	114.7
30	-452.7	-221.8	114.7	187.5
31	679.6	933.8	187.5	144.0
32	235.5	489.6	187.5	144.0
33	-254.2	0.0	187.5	144.0
34	201.6	434.6	202.6	166.2
35	-232.9	0.0	202.6	166.2
36	419.9	671.0	220.3	210.7
37	469.4	713.0	140.0	206.7
38	0.0	243.6	140.0	206.7
39	-419.4	-175.8	140.0	206.7
40	-231.9	0.0	203.6	139.0
41	641.2	881.7	250.6	204.6
42	215.3	455.8	250.6	204.6
43	421.4	655.4	166.7	250.6
