fullPore#	x2	x3	y1	y2	y3
0	242.5	436.1	130.4	229.4	160.2
1	249.1	446.7	160.2	244.1	132.9
2	225.9	457.8	132.9	235.0	160.2
3	244.1	482.6	160.2	253.7	153.1
4	204.1	393.6	153.1	252.6	129.4
5	278.4	550.3	129.4	189.0	127.8
6	250.1	479.5	127.8	205.1	123.3
7	229.9	440.1	123.3	210.7	120.8
8	223.8	434.0	120.8	202.1	118.2
9	238.5	472.5	118.2	182.9	127.3
10	234.5	443.6	127.3	210.7	150.6
11	243.0	442.1	150.6	213.7	145.0
12	236.0	461.8	145.0	241.0	155.6
13	253.2	453.8	155.6	210.2	135.9
14	231.4	409.8	135.9	226.9	161.2
15	253.2	455.3	161.2	198.1	126.8
16	248.6	453.3	126.8	196.1	143.5
17	238.5	448.2	143.5	185.4	142.0
18	215.8	422.9	142.0	206.2	145.0
19	239.5	443.1	145.0	223.3	215.8
20	241.5	478.5	215.8	280.9	214.2
21	217.8	429.0	214.2	241.5	171.8
22	200.1	404.2	171.8	166.7	116.7
23	259.2	494.2	116.7	109.1	137.4
24	240.0	425.0	137.4	140.5	157.7
25	241.0	413.3	157.7	151.1	167.8
26	262.8	477.5	167.8	155.1	151.6
27	214.2	423.9	151.6	135.4	138.5
28	266.3	491.7	138.5	102.1	167.3
29	199.6	383.5	167.3	130.4	190.5
30	228.4	450.7	190.5	154.1	163.7
31	241.5	454.8	163.7	134.4	154.6
32	255.2	448.2	154.6	134.9	183.9
33	270.3	454.8	183.9	135.4	149.6
34	191.0	371.9	149.6	132.9	173.3
35	261.7	485.1	173.3	119.2	158.2
