% Model:              2D_fiberInterAct_fullPore_2_4001_a_rechts.mph
% Version:            COMSOL 5.4.0.346
% Date:               Apr 25 2019, 13:47
% Dimension:          1
% Nodes:              44
% Expressions:        1
% Description:        Global
% x             Height
0.0000          0.83668
1.0000          0.82947
2.0000          0.77939
3.0000          0.79678
4.0000          0.84677
5.0000          0.87441
6.0000          0.86049
7.0000          0.81459
8.0000          0.76487
9.0000          0.88679
10.000          0.86884
11.000          0.84686
12.000          0.75284
13.000          0.73140
14.000		0.7191
15.000          0.79381
16.000          0.77331
17.000          0.68360
18.000          0.84028
19.000          0.85773
20.000          0.85093
21.000          0.91061
22.000          0.72349
23.000          0.81827
24.000          0.88854
25.000          0.87766
26.000          0.81368
27.000          0.86113
28.000          0.89605
29.000          0.86036
30.000          0.86356
31.000          0.80135
32.000          0.90849
33.000          0.75201
34.000          0.80820
35.000          0.70391
36.000		0.5594	
37.000          0.76017
38.000          0.86414
39.000          0.82131
40.000          0.75423
41.000          0.74279
42.000          0.74826
43.000          0.62457
44.000          0.75894
