% Model:              2D_fiberInterAct_fullPore_2_4001_a_rechts.mph
% Version:            COMSOL 5.4.0.346
% Date:               Apr 25 2019, 13:47
% Dimension:          1
% Nodes:              44
% Expressions:        1
% Description:        Global
% x             Height
0.0000          0.80758
1.0000          0.80224
2.0000          0.75057
3.0000          0.77171
4.0000          0.81326
5.0000          0.84407
6.0000          0.81260
7.0000          0.77464
8.0000          0.69928
9.0000          0.85110
10.000          0.83761
11.000          0.81375
12.000          0.66891
13.000          0.68956
14.000          0.67691
15.000          0.75705
16.000          0.73664
17.000          0.68237
18.000          0.83363
19.000          0.82800
20.000          0.77785
21.000          0.87467
22.000          0.75031
23.000          0.78875
24.000          0.85763
25.000          0.83822
26.000          0.68472
27.000          0.82486
28.000          0.87054
29.000          0.82600
30.000          0.82521
31.000          0.76808
32.000          0.85635
33.000          0.71628
34.000          0.72916
35.000          0.63847
36.000          0.50265
37.000          0.71187
38.000          0.82563
39.000          0.78134
40.000          0.72899
41.000          0.69706
42.000          0.64156
43.000          0.57984
44.000          0.71035
