% Model:              Sect_4.3_Single_pore_model_err1.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 8 2020, 13:53
% Dimension:          1
% Nodes:              37
% Expressions:        1
% Description:        Global
% x             Height
0.0000          0.80444
1.0000          0.79916
2.0000          0.74754
3.0000          0.76776
5.0000          0.84060
6.0000          0.75260
7.0000          0.76081
8.0000          0.56693
10.000          0.66270
11.000          0.81042
12.000          0.56321
13.000          0.68359
14.000          0.67207
17.000          0.66496
20.000          0.69374
21.000          0.87083
22.000          0.69990
23.000          0.75527
24.000          0.85536
25.000          0.72000
26.000          0.59671
27.000          0.82082
29.000          0.82371
30.000          0.82171
31.000          0.76465
32.000          0.79235
33.000          0.67988
34.000          0.60825
35.000          0.61491
36.000          0.49586
38.000          0.82233
39.000          0.61528
40.000          0.72413
41.000          0.69126
42.000          0.61204
43.000          0.57402
44.000          0.70237
