% Model:              2D_fiberInterAct_fullPore_5_ID22-44.mph
% Version:            COMSOL 5.4.0.346
% Date:               May 30 2019, 14:21
% Dimension:          1
% Nodes:              21
% Expressions:        1
% Description:        Global
% x             Height
22.000          0.75031
23.000          0.78875
24.000          0.85763
25.000          0.83822
26.000          0.68472
27.000          0.82486
28.000          0.87054
29.000          0.82600
31.000          0.76808
32.000          0.85635
33.000          0.71628
34.000          0.72916
35.000          0.63847
36.000          0.50265
37.000          0.71187
38.000          0.82563
40.000          0.72899
41.000          0.69706
42.000          0.64156
43.000          0.57984
44.000          0.71035
