% Model:              Sect_4.3_Single_pore_model.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 21 2020, 17:47
% Dimension:          1
% Nodes:              45
% Expressions:        1
% Description:        Global
% x             Height
0.0000          0.80708
1.0000          0.80202
2.0000          0.75017
3.0000          0.77172
4.0000          0.81305
5.0000          0.84335
6.0000          0.81176
7.0000          0.77376
8.0000          0.69936
9.0000          0.85086
10.000          0.83692
11.000          0.81362
12.000          0.66923
13.000          0.69042
14.000          0.67717
15.000          0.75779
16.000          0.73736
17.000          0.68269
18.000          0.83323
19.000          0.82703
20.000          0.77656
21.000          0.87468
22.000          0.75158
23.000          0.78939
24.000          0.85788
25.000          0.83840
26.000          0.68620
27.000          0.82580
28.000          0.87107
29.000          0.82757
30.000          0.82671
31.000          0.76934
32.000          0.85755
33.000          0.71750
34.000          0.73145
35.000          0.64050
36.000          0.50407
37.000          0.71396
38.000          0.82712
39.000          0.78320
40.000          0.73014
41.000          0.70096
42.000          0.64402
43.000          0.58304
44.000          0.71400
